Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
176,Giriraj Singh,BEGUSARAI,BJP,6,Graduate,"Rs 8,30,24,577 ~ 8 Crore+","Rs 1,22,36,000 ~ 1 Crore+"
177,Girish Bhalchandra Bapat,PUNE,BJP,1,Graduate,"Rs 5,79,59,302 ~ 5 Crore+","Rs 17,93,891 ~ 17 Lacs+"
178,Girish Chandra,NAGINA,BSP,1,12th Pass,"Rs 2,86,59,644 ~ 2 Crore+","Rs 90,62,600 ~ 90 Lacs+"
179,Gnanathiraviam S,TIRUNELVELI,DMK,4,10th Pass,"Rs 23,27,59,237 ~ 23 Crore+","Rs 4,61,49,049 ~ 4 Crore+"
180,Goddeti Madhavi,ARAKU,YSRCP,0,Graduate Professional,"Rs 1,41,179 ~ 1 Lacs+",Rs 0 ~
181,Gomati,RAIGARH,BJP,0,12th Pass,"Rs 70,43,539 ~ 70 Lacs+",Rs 0 ~
182,Gopal Chinnaya Shetty,MUMBAI NORTH,BJP,9,5th Pass,"Rs 15,75,35,232 ~ 15 Crore+","Rs 2,11,36,135 ~ 2 Crore+"
183,Gopaljee Thakur,DARBHANGA,BJP,0,Post Graduate,"Rs 1,93,01,808 ~ 1 Crore+","Rs 10,39,660 ~ 10 Lacs+"
184,Guharam Ajgalle,JANJGIR CHAMPA,BJP,0,Graduate Professional,"Rs 1,84,00,837 ~ 1 Crore+",Rs 0 ~
185,Guman Singh Damor,RATLAM,BJP,0,Graduate Professional,"Rs 4,20,72,262 ~ 4 Crore+","Rs 48,90,940 ~ 48 Lacs+"
186,Gurjeet Singh Aujla,AMRITSAR,INC,0,12th Pass,"Rs 3,40,11,739 ~ 3 Crore+","Rs 90,31,565 ~ 90 Lacs+"
187,Haji Fazlur Rehman,SAHARANPUR,BSP,0,Graduate,"Rs 4,61,46,135 ~ 4 Crore+","Rs 60,000 ~ 60 Thou+"
188,Hans Raj Hans,NORTH WEST DELHI,BJP,0,10th Pass,"Rs 13,09,37,732 ~ 13 Crore+","Rs 4,78,97,494 ~ 4 Crore+"
189,Hanuman Beniwal,NAGAUR,Rashtriya Loktantrik Party,0,Graduate Professional,"Rs 42,18,568 ~ 42 Lacs+",Rs 0 ~
190,Harish Chandra Alias Harish Dwivedi,BASTI,BJP,5,Post Graduate,"Rs 86,62,344 ~ 86 Lacs+","Rs 3,22,490 ~ 3 Lacs+"
191,Harsh Vardhan,CHANDNI CHOWK,BJP,0,Post Graduate,"Rs 3,01,71,897 ~ 3 Crore+",Rs 0 ~
192,Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,"Rs 2,17,99,19,870 ~ 217 Crore+","Rs 95,48,52,600 ~ 95 Crore+"
193,Hasnain Masoodi,ANANTNAG,Jammu & Kashmir National Conference,0,Post Graduate,"Rs 8,76,20,672 ~ 8 Crore+",Rs 0 ~
194,Heena Vijaykumar Gavit,NANDURBAR,BJP,0,Post Graduate,"Rs 27,16,34,532 ~ 27 Crore+","Rs 1,52,91,251 ~ 1 Crore+"
195,Hema Malini Dharmendra Deol,MATHURA,BJP,0,Doctorate,"Rs 2,50,82,70,292 ~ 250 Crore+","Rs 13,12,88,062 ~ 13 Crore+"
196,Hemant Tukaram Godse,NASHIK,SHS,1,Others,"Rs 14,68,69,996 ~ 14 Crore+","Rs 4,10,83,126 ~ 4 Crore+"
197,Hibi Eden,ERNAKULAM,INC,7,Graduate,"Rs 79,08,467 ~ 79 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
198,Himadri Singh,SHAHDOL,BJP,0,Graduate,"Rs 3,65,64,408 ~ 3 Crore+","Rs 17,36,289 ~ 17 Lacs+"
199,Horen Sing Bey,AUTONOMOUS DISTRICT,BJP,2,Graduate,"Rs 2,06,93,570 ~ 2 Crore+","Rs 59,56,209 ~ 59 Lacs+"
200,Imtiaz Jaleel Syed,AURANGABAD,AIMIM,4,Post Graduate,"Rs 2,95,62,768 ~ 2 Crore+","Rs 68,00,000 ~ 68 Lacs+"
201,Indra Hang Subba,SIKKIM,Sikkim Krantikari Morcha,0,Post Graduate,"Rs 4,78,817 ~ 4 Lacs+",Rs 0 ~
202,Jadhav Sanjay (Bandu) Haribhau,PARBHANI,SHS,6,10th Pass,"Rs 4,10,40,011 ~ 4 Crore+","Rs 45,19,583 ~ 45 Lacs+"
203,Jagannath Sarkar,RANAGHAT,BJP,1,Graduate Professional,"Rs 1,76,22,476 ~ 1 Crore+",Rs 0 ~
204,Jagdambika Pal,DOMARIYAGANJ,BJP,3,Post Graduate,"Rs 10,33,66,710 ~ 10 Crore+","Rs 28,38,478 ~ 28 Lacs+"
205,Jai Prakash,HARDOI,BJP,0,Graduate,"Rs 23,40,32,624 ~ 23 Crore+","Rs 26,15,368 ~ 26 Lacs+"
206,Janardan Prasad Mishra,REWA,BJP,0,Graduate Professional,"Rs 2,03,59,750 ~ 2 Crore+","Rs 5,80,627 ~ 5 Lacs+"
207,Janardan Singh Sigriwal,MAHARAJGANJ,BJP,5,Graduate,"Rs 1,04,51,986 ~ 1 Crore+","Rs 3,76,000 ~ 3 Lacs+"
208,Jardosh Darshnaben Vikrambhai,SURAT,BJP,0,Graduate,"Rs 2,38,72,876 ~ 2 Crore+",Rs 0 ~
209,Jasbir Singh Gill,KHADOOR SAHIB,INC,0,Others,"Rs 8,13,93,500 ~ 8 Crore+","Rs 46,55,000 ~ 46 Lacs+"
210,Jaskaur Meena,DAUSA,BJP,0,Post Graduate,"Rs 14,37,42,564 ~ 14 Crore+","Rs 58,25,431 ~ 58 Lacs+"
211,Jasvantsinh Sumanbhai Bhabhor,DAHOD,BJP,0,Graduate Professional,"Rs 2,70,70,480 ~ 2 Crore+",Rs 0 ~
212,Jayadev Galla,GUNTUR,TDP,0,Graduate,"Rs 3,05,14,85,242 ~ 305 Crore+","Rs 20,34,52,417 ~ 20 Crore+"
213,Jayant Sinha,HAZARIBAGH,BJP,0,Post Graduate,"Rs 77,07,49,002 ~ 77 Crore+","Rs 19,32,71,437 ~ 19 Crore+"
214,Jayanta Kumar Roy,JALPAIGURI,BJP,0,Graduate Professional,"Rs 1,16,25,047 ~ 1 Crore+","Rs 13,52,581 ~ 13 Lacs+"
215,Jigajinagi Ramesh Chandappa,BIJAPUR,BJP,0,Graduate,"Rs 50,41,22,985 ~ 50 Crore+","Rs 16,00,000 ~ 16 Lacs+"
216,John Barla,ALIPURDUARS,BJP,9,8th Pass,"Rs 14,18,730 ~ 14 Lacs+",Rs 0 ~
217,Jothimani S,KARUR,INC,0,Post Graduate,"Rs 60,46,055 ~ 60 Lacs+","Rs 3,79,000 ~ 3 Lacs+"
218,Jual Oram,SUNDARGARH,BJP,2,Others,"Rs 7,41,85,014 ~ 7 Crore+","Rs 1,27,43,330 ~ 1 Crore+"
219,Jugal Kishore,JAMMU,BJP,0,10th Pass,"Rs 5,64,81,801 ~ 5 Crore+","Rs 35,00,40,219 ~ 35 Crore+"
220,Jyotirmay Singh Mahato,PURULIA,BJP,2,Graduate Professional,"Rs 22,50,540 ~ 22 Lacs+","Rs 4,56,100 ~ 4 Lacs+"
221,Jyotsna Mahant,KORBA,INC,0,Post Graduate,"Rs 15,06,39,697 ~ 15 Crore+",Rs 0 ~
222,K Shanmugasundaram,POLLACHI,DMK,0,Graduate Professional,"Rs 13,31,09,284 ~ 13 Crore+","Rs 1,33,60,639 ~ 1 Crore+"
223,K Sudhakaran,KANNUR,INC,3,Post Graduate,"Rs 2,96,99,206 ~ 2 Crore+","Rs 74,68,633 ~ 74 Lacs+"
224,K. Muraleedharan,VADAKARA,INC,3,Graduate,"Rs 11,43,79,340 ~ 11 Crore+",Rs 0 ~
225,K. Navaskani,RAMANATHAPURAM,IUML,1,12th Pass,"Rs 36,47,38,171 ~ 36 Crore+","Rs 4,70,08,615 ~ 4 Crore+"
226,Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP,0,12th Pass,"Rs 3,59,00,763 ~ 3 Crore+","Rs 8,28,961 ~ 8 Lacs+"
227,Kailash Choudhary,BARMER,BJP,2,Graduate,"Rs 24,02,250 ~ 24 Lacs+",Rs 0 ~
228,Kalyan Banerjee,SREERAMPUR,AITC,0,Graduate Professional,"Rs 17,59,68,902 ~ 17 Crore+","Rs 55,22,403 ~ 55 Lacs+"
229,Kamlesh Paswan,BANSGAON,BJP,5,Graduate,"Rs 17,17,06,883 ~ 17 Crore+","Rs 60,49,264 ~ 60 Lacs+"
230,Kanakmal Katara,BANSWARA,BJP,0,Graduate Professional,"Rs 5,87,11,904 ~ 5 Crore+","Rs 17,46,729 ~ 17 Lacs+"
231,Kanimozhi Karunanidhi,THOOTHUKKUDI,DMK,6,Graduate Professional,"Rs 30,33,73,130 ~ 30 Crore+","Rs 1,92,90,928 ~ 1 Crore+"
232,Kanumuru Raghu Rama Krishna Raju,NARSAPURAM,YSRCP,3,Post Graduate,"Rs 3,25,94,05,378 ~ 325 Crore+","Rs 1,01,44,67,354 ~ 101 Crore+"
233,Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,"Rs 41,88,50,781 ~ 41 Crore+","Rs 56,45,459 ~ 56 Lacs+"
234,Karadi Sanganna Amarappa,KOPPAL,BJP,1,10th Pass,"Rs 2,87,25,791 ~ 2 Crore+","Rs 2,24,75,333 ~ 2 Crore+"
235,Karti P Chidambaram,SIVAGANGA,INC,8,Graduate Professional,"Rs 79,37,29,024 ~ 79 Crore+","Rs 17,40,81,116 ~ 17 Crore+"
236,Kaushal Kishore,MOHANLALGANJ,BJP,1,Graduate,"Rs 5,55,30,561 ~ 5 Crore+",Rs 0 ~
237,Kaushlendra Kumar,NALANDA,JD(U),0,12th Pass,"Rs 2,92,51,651 ~ 2 Crore+","Rs 27,12,389 ~ 27 Lacs+"
238,Kavita Singh,SIWAN,JD(U),4,Post Graduate,"Rs 1,93,25,264 ~ 1 Crore+","Rs 4,12,511 ~ 4 Lacs+"
239,Kavitha Malothu,MAHABUBABAD,TRS,1,Graduate,"Rs 1,97,31,269 ~ 1 Crore+","Rs 12,52,068 ~ 12 Lacs+"
240,Keshari Devi Patel,PHULPUR,BJP,2,Post Graduate,"Rs 17,27,07,104 ~ 17 Crore+","Rs 65,05,194 ~ 65 Lacs+"
241,Khadse Raksha Nikhil,RAVER,BJP,0,Graduate,"Rs 17,27,13,734 ~ 17 Crore+",Rs 0 ~
242,Khagen Murmu,MALDAHA UTTAR,BJP,4,Graduate,"Rs 1,02,32,439 ~ 1 Crore+","Rs 10,70,914 ~ 10 Lacs+"
243,Khalilur Rahaman,JANGIPUR,AITC,0,Graduate,"Rs 36,83,06,705 ~ 36 Crore+","Rs 22,48,968 ~ 22 Lacs+"
244,Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,"Rs 1,52,79,000 ~ 1 Crore+",Rs 0 ~
245,Kirron Kher,CHANDIGARH,BJP,0,Post Graduate,"Rs 47,49,83,574 ~ 47 Crore+","Rs 62,79,188 ~ 62 Lacs+"
246,Kirti Vardhan Singh Alias Raja Bhaiya,GONDA,BJP,0,Post Graduate,"Rs 23,27,35,285 ~ 23 Crore+","Rs 2,32,01,603 ~ 2 Crore+"
247,Kishan Kapoor,KANGRA,BJP,2,12th Pass,"Rs 8,58,41,247 ~ 8 Crore+","Rs 36,05,161 ~ 36 Lacs+"
248,Kodikunnil Suresh,MAVELIKKARA,INC,1,Graduate Professional,"Rs 1,29,65,129 ~ 1 Crore+","Rs 9,82,819 ~ 9 Lacs+"
249,Komatireddy Venakat Reddy,BHONGIR,INC,14,12th Pass,"Rs 16,25,43,845 ~ 16 Crore+","Rs 2,40,69,129 ~ 2 Crore+"
250,Kotha Prabhakar Reddy,MEDAK,TRS,0,Graduate,"Rs 1,26,65,81,773 ~ 126 Crore+","Rs 26,82,66,203 ~ 26 Crore+"
251,Kripanath Mallah,KARIMGANJ,BJP,0,Graduate,"Rs 18,71,040 ~ 18 Lacs+",Rs 0 ~
252,Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,"Rs 36,96,52,786 ~ 36 Crore+","Rs 10,55,93,242 ~ 10 Crore+"
253,Krishna Pal Singh,GUNA,BJP,0,Graduate Professional,"Rs 1,62,66,408 ~ 1 Crore+","Rs 4,94,053 ~ 4 Lacs+"
254,Krupal Balaji Tumane,RAMTEK,SHS,0,Graduate,"Rs 9,56,03,165 ~ 9 Crore+","Rs 42,28,793 ~ 42 Lacs+"
255,Kuldeep Rai Sharma,ANDAMAN AND NICOBAR ISLANDS,INC,0,Graduate Professional,"Rs 13,22,33,012 ~ 13 Crore+","Rs 8,04,50,870 ~ 8 Crore+"
