Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
345,Pradeep Kumar Singh,ARARIA,BJP,3,10th Pass,"Rs 50,10,577 ~ 50 Lacs+","Rs 11,59,200 ~ 11 Lacs+"
346,Pradyut Bordoloi,NAWGONG,INC,0,Post Graduate,"Rs 7,41,43,272 ~ 7 Crore+","Rs 40,11,152 ~ 40 Lacs+"
347,Prahalad Singh Patel,DAMOH,BJP,0,Graduate Professional,"Rs 4,32,92,483 ~ 4 Crore+","Rs 42,30,614 ~ 42 Lacs+"
348,Prajwal R,HASSAN,JD(S),0,Graduate Professional,"Rs 9,78,48,632 ~ 9 Crore+","Rs 3,72,53,210 ~ 3 Crore+"
349,Pralhad Joshi,DHARWAD,BJP,1,Graduate,"Rs 11,13,84,447 ~ 11 Crore+","Rs 5,17,36,254 ~ 5 Crore+"
350,Pramila Bisoyi,ASKA,BJD,0,5th Pass,"Rs 7,32,470 ~ 7 Lacs+",Rs 0 ~
351,Prasun Banerjee,HOWRAH,AITC,1,Graduate,"Rs 1,32,16,066 ~ 1 Crore+",Rs 0 ~
352,Pratap Chandra Sarangi,BALASORE,BJP,7,Graduate,"Rs 13,46,236 ~ 13 Lacs+",Rs 160 ~ 1 Hund+
353,Prataprao Ganpatrao Jadhav,BULDHANA,SHS,3,12th Pass,"Rs 11,62,72,966 ~ 11 Crore+","Rs 7,35,482 ~ 7 Lacs+"
354,Prathap Simha,MYSORE,BJP,3,Post Graduate,"Rs 1,87,23,762 ~ 1 Crore+","Rs 65,86,698 ~ 65 Lacs+"
355,Pratima Bhoumik,TRIPURA WEST,BJP,0,Graduate,"Rs 6,42,398 ~ 6 Lacs+",Rs 0 ~
356,Pratima Mondal,JAYNAGAR,AITC,0,Post Graduate,"Rs 2,74,71,675 ~ 2 Crore+",Rs 0 ~
357,Praveen Kumar Nishad,SANT KABIR NAGAR,BJP,0,Graduate Professional,"Rs 43,00,614 ~ 43 Lacs+","Rs 23,26,248 ~ 23 Lacs+"
358,Premachandran N K,KOLLAM,Revolutionary Socialist Party,5,Graduate Professional,"Rs 1,75,00,650 ~ 1 Crore+","Rs 32,70,587 ~ 32 Lacs+"
359,Preneet Kaur,PATIALA,INC,0,Graduate,"Rs 63,59,73,757 ~ 63 Crore+","Rs 4,24,53,369 ~ 4 Crore+"
360,Pritam Gopinathrao Munde,BEED,BJP,1,Post Graduate,"Rs 16,74,77,926 ~ 16 Crore+","Rs 9,88,33,794 ~ 9 Crore+"
361,Queen Oja,GAUHATI,BJP,0,Graduate,"Rs 63,02,19,570 ~ 63 Crore+","Rs 3,40,34,178 ~ 3 Crore+"
362,R. K. Singh,ARRAH,BJP,1,Graduate Professional,"Rs 7,99,71,720 ~ 7 Crore+",Rs 0 ~
363,R.K. Singh Patel,BANDA,BJP,2,Graduate,"Rs 5,57,94,086 ~ 5 Crore+",Rs 0 ~
364,Radha Mohan Singh,PURVI CHAMPARAN,BJP,1,Graduate,"Rs 3,37,91,375 ~ 3 Crore+","Rs 11,46,627 ~ 11 Lacs+"
365,Rahul Gandhi,WAYANAD,INC,5,Post Graduate,"Rs 15,88,77,063 ~ 15 Crore+","Rs 72,01,904 ~ 72 Lacs+"
366,Rahul Kaswan,CHURU,BJP,0,Graduate,"Rs 3,67,23,865 ~ 3 Crore+","Rs 1,51,63,379 ~ 1 Crore+"
367,Rahul Ramesh Shewale,MUMBAI SOUTH CENTRAL,SHS,0,Others,"Rs 1,88,81,363 ~ 1 Crore+","Rs 77,78,954 ~ 77 Lacs+"
368,Raja Amareshwara Naik,RAICHUR,BJP,0,Graduate Professional,"Rs 3,06,38,375 ~ 3 Crore+","Rs 6,78,532 ~ 6 Lacs+"
369,Rajan Baburao Vichare,THANE,SHS,9,12th Pass,"Rs 18,14,41,465 ~ 18 Crore+","Rs 5,40,80,733 ~ 5 Crore+"
370,Rajashree Mallick,JAGATSINGHPUR,BJD,0,Graduate Professional,"Rs 4,00,23,972 ~ 4 Crore+","Rs 14,33,305 ~ 14 Lacs+"
371,Rajbahadur Singh,SAGAR,BJP,1,Post Graduate,"Rs 1,64,16,828 ~ 1 Crore+","Rs 5,47,428 ~ 5 Lacs+"
372,Rajdeep Roy,SILCHAR,BJP,0,Post Graduate,"Rs 2,99,01,767 ~ 2 Crore+","Rs 69,76,701 ~ 69 Lacs+"
373,Rajendra Agarwal,MEERUT,BJP,3,Post Graduate,"Rs 1,34,89,377 ~ 1 Crore+","Rs 19,90,094 ~ 19 Lacs+"
374,Rajesh Verma,SITAPUR,BJP,1,Post Graduate,"Rs 7,31,29,716 ~ 7 Crore+","Rs 1,08,148 ~ 1 Lacs+"
375,Rajiv Pratap Rudy,SARAN,BJP,0,Post Graduate,"Rs 8,07,40,349 ~ 8 Crore+",Rs 0 ~
376,Rajiv Ranjan Singh,MUNGER,JD(U),1,Graduate,"Rs 8,83,24,866 ~ 8 Crore+","Rs 75,34,918 ~ 75 Lacs+"
377,Rajkumar Chahar,FATEHPUR SIKRI,BJP,3,Graduate,"Rs 1,48,54,247 ~ 1 Crore+","Rs 3,56,404 ~ 3 Lacs+"
378,Rajmohan Unnithan,KASARAGOD,INC,1,Graduate,"Rs 2,15,70,257 ~ 2 Crore+","Rs 8,62,257 ~ 8 Lacs+"
379,Rajnath Singh,LUCKNOW,BJP,0,Post Graduate,"Rs 5,14,92,709 ~ 5 Crore+",Rs 0 ~
380,Raju Bista,DARJEELING,BJP,0,Graduate,"Rs 15,11,06,062 ~ 15 Crore+","Rs 2,74,28,941 ~ 2 Crore+"
381,Rajveer Singh,ETAH,BJP,0,Graduate Professional,"Rs 38,36,29,735 ~ 38 Crore+","Rs 10,02,20,000 ~ 10 Crore+"
382,Rajvir Diler,HATHRAS,BJP,0,12th Pass,"Rs 1,49,30,000 ~ 1 Crore+",Rs 0 ~
383,Rakesh Singh,JABALPUR,BJP,1,Graduate,"Rs 4,31,34,351 ~ 4 Crore+","Rs 13,87,000 ~ 13 Lacs+"
384,Ram Charan Bohra,JAIPUR,BJP,0,12th Pass,"Rs 16,53,22,707 ~ 16 Crore+","Rs 2,20,00,000 ~ 2 Crore+"
385,Ram Kripal Yadav,PATALIPUTRA,BJP,0,Graduate,"Rs 2,92,13,467 ~ 2 Crore+","Rs 17,17,310 ~ 17 Lacs+"
386,Ram Shiromani,SHRAWASTI,BSP,0,Graduate Professional,"Rs 1,91,08,216 ~ 1 Crore+","Rs 3,50,000 ~ 3 Lacs+"
387,Ram Swaroop Sharma,MANDI,BJP,0,10th Pass,"Rs 1,57,24,337 ~ 1 Crore+","Rs 7,83,963 ~ 7 Lacs+"
388,Rama Devi,SHEOHAR,BJP,1,Graduate Professional,"Rs 32,83,64,940 ~ 32 Crore+",Rs 0 ~
389,Ramakant Bhargava,VIDISHA,BJP,0,12th Pass,"Rs 3,00,32,282 ~ 3 Crore+","Rs 33,32,012 ~ 33 Lacs+"
390,Ramalingam S,MAYILADUTHURAI,DMK,0,Graduate,"Rs 1,33,55,095 ~ 1 Crore+","Rs 2,15,000 ~ 2 Lacs+"
391,Ramapati Ram Tripathi,DEORIA,BJP,1,Graduate Professional,"Rs 2,94,51,678 ~ 2 Crore+","Rs 93,10,684 ~ 93 Lacs+"
392,Ramchandra Paswan,SAMASTIPUR,LJP,5,10th Pass,"Rs 1,73,75,975 ~ 1 Crore+","Rs 9,99,057 ~ 9 Lacs+"
393,Ramdas Chandrabhanji Tadas,WARDHA,BJP,0,10th Pass,"Rs 6,58,07,822 ~ 6 Crore+","Rs 89,61,387 ~ 89 Lacs+"
394,Ramesh Bidhuri,SOUTH DELHI,BJP,2,Graduate Professional,"Rs 18,00,52,708 ~ 18 Crore+","Rs 20,38,454 ~ 20 Lacs+"
395,Ramesh Chand,BHADOHI,BJP,6,10th Pass,"Rs 9,40,89,148 ~ 9 Crore+","Rs 2,16,96,413 ~ 2 Crore+"
